file,seconds,tracks,drum_stems,bass_stems,synth_stems,acoustic_stems,other_stems,synth_note_share,sha256
track_000018.mid,247.1,18,1,1,10,0,3,0.495,1f5553e7d2d98a59680d2d06a7f02659a3dd7ffaf8ad880804e537e2a0f4b388
track_000019.mid,239.5,11,1,3,4,1,2,0.222,20dbaa2f7c055ccb6af8c5754e4883d01b30b2970e578346a7fce3d58c1c6539
track_000020.mid,198.0,15,2,1,5,1,5,0.205,210540d45b690aa97e3f56c32d785cfd75af20b233f46153487c593cd0be706b
track_000021.mid,331.6,24,3,1,6,0,8,0.536,27f159b213bb95dac031cec124fae3e8fed3b5b0bd0e8efcaf3f8fd1246b8ab6
track_000022.mid,331.2,33,3,2,7,1,10,0.318,2af24702cf7c5395950a2b36c26a711c0f83bdf05d13fc2617c99b953225ebb4
track_000023.mid,197.3,9,2,2,5,0,0,0.514,2f41525750764e8a0a6aba09f135e1cf76bfa9860791ac92ca3a5240f69fbd8a
track_000024.mid,170.2,9,2,3,3,0,1,0.976,301a91e54329798268cd94d4b4a713a6e579068d92af719f4a9b88fb12a832ff
track_000025.mid,200.0,10,1,1,4,0,4,0.677,31f7e569689a928d02becebc1bfb58b7ad5085599a7ca325de799b2d5bfb8e93
track_000026.mid,431.6,15,2,1,1,0,10,0.026,34ec4cd2651218edc7213e2209b6470020cac57f5f80ed0158f675330edff649
track_000027.mid,296.8,9,2,1,5,0,1,0.561,376b2e04e6a05329f263661fdc36fadfe7da525da8f3a8c40663212e218eb679
track_000028.mid,260.2,13,2,3,7,0,0,0.315,378522467a7beb289d94bf3befd922da80dbc12afcdbdecea4d49fe2d527050c
track_000029.mid,212.3,8,1,1,6,0,0,0.505,3ad99d03fdc5e642017888ab8bd5abc91555ccde8fe8b792488cce3fe4c73d65
track_000030.mid,255.4,35,9,2,14,0,9,0.0,3b15615faea9cd5c61bc6ffb517734fbc89cc212d44f42f3d653cd008e737634
track_000031.mid,256.0,5,1,1,1,0,2,0.0,3dcbd3bb4dd8b5cdce432fdd7bedd73f6e1e4c485c4bf96c877fe8606c794a81
track_000032.mid,203.4,14,3,1,6,2,0,0.553,40184838e9f0ac2d3bf141bc9d39b3fea795b0faa0efccd6cab69c943f170935
track_000033.mid,326.8,21,3,2,9,0,6,0.664,4635c754d452796136abf6db9dced4020892270068ee457b88dc0b9dec84658d
track_000034.mid,504.9,25,2,3,14,0,5,0.513,463e34dc473bf0d9c3351166bac72ef9324423a55577cf5dc3d176095bbe28dd
track_000035.mid,560.7,25,4,1,8,0,5,0.178,472627159a043aa159932119c7a65d41bdc888c3e7365a42e6d9a54f45060e64
track_000036.mid,520.7,9,2,1,6,0,0,0.587,48db3d02f6215f938a65cc1266b0e8f37582798cb0297eca87a546e758bdd67b
track_000037.mid,213.6,11,2,1,4,0,4,0.062,49e0183b3ba29e73bf9e2cf9ccae3ee56c081fb766b243d3b27eb76a3dee81ee
track_000038.mid,299.7,21,6,3,1,1,5,0.344,4a276c91f768ecc6ceb224dde741f372f2effb9f586008dc4e0540cebd58f9d0
track_000039.mid,451.5,17,1,2,8,0,6,0.375,4e02960078d3c5b61b9d5bb08cab663abf169501059ac4f36340bfa3705bf3a4
track_000040.mid,150.0,16,2,2,10,0,0,0.548,4f1ea17db5c9ad3a73b09ed8cbecce3edad60883c54bb173b8a9f35b858f706e
track_000041.mid,328.9,25,1,2,13,0,9,0.656,517fd538a45b360ee0196c7880a686e6224572eb24d7fd027beefd0d4f4bc803
track_000042.mid,220.1,13,1,2,5,0,4,0.269,52c2eb0d90105ca566a3ffbec5a1309c04ac7961372684d940b8f0f892e6af13
track_000043.mid,196.9,11,1,2,2,0,6,0.135,53da98fae440d144a4bc1b7ad214731965dc5fd987c24082139de427456e63a6
track_000044.mid,622.9,13,2,1,3,3,3,0.391,5420f260515af4c94c04fbe14e6bda5554f80fd21136bbea1ecec3219031350c
track_000045.mid,205.4,15,3,1,4,0,5,0.355,596c80a98296eb2b5881c62461543083762ea7ff167a40e1315bcd94857b4069
track_000046.mid,274.1,13,1,3,4,2,3,0.344,5e41ff432bf69cc72777928270bf8860c07aa369fe0b15f76520b3e54abbd1d0
track_000047.mid,398.8,35,2,1,15,4,9,0.281,5f22521a03cac1d9e3330a63763b90608c11bba35924311245eeef71b9dfa5ad
track_000048.mid,288.9,6,1,1,4,0,0,1.0,60640f0740eb5487805c89234e3317e39fc8d420cba3e7af6058ab0a2e66bad8
track_000049.mid,263.7,11,1,2,7,0,1,0.675,60a9442fe97b48699161cd09270900c151f482dc894f93b708ca2ee5b43182e2
track_000050.mid,194.1,9,6,1,1,0,1,0.419,61187ee3a788517e0077f1b9de2cd94e2ab97afca2b6563af8fdf90df94b1934
track_000051.mid,249.1,17,1,1,8,0,3,0.804,64a3c8a26eb575b5bf5d87426027a908d07d2ceadd72683ab2189983800f4bf3
track_000052.mid,530.5,18,1,6,3,1,5,0.752,6a3adb4b5926012fdb0db3b670002c36508d80b02ad6a601b7cdc3ba7776c2f4
track_000053.mid,337.1,6,1,1,1,0,3,0.023,6c33bef232420cab1c03b9da67b8e2cd6680b13cec99cacd12550a26f75e43c8
track_000054.mid,242.6,9,1,2,5,0,1,0.843,6c7ce0385dfd603549ead6538761f7d32322ead9fdb3800638323448011357e0
track_000055.mid,294.4,7,1,1,1,0,4,0.01,6de99755b6532d4e202959a96c68fad2fa6d50b2c70c4a19e8fa13069f7fec32
track_000056.mid,325.3,7,1,2,1,0,3,0.066,74fd20f25d8d85ea76bc641377b9f7d0624afd6417bbe379b85e123492ea7bd2
track_000057.mid,711.9,16,2,2,5,0,7,0.016,75886af192864c3520446a73274ae0d6876af84d63d3404f66c25ad8f94a6e1c
track_000058.mid,216.4,9,2,2,3,0,2,0.032,86a148577b53653a3389eeadb591ed1f05bd1df2add170667f72782fdd168342
track_000059.mid,428.8,17,1,1,4,0,7,0.586,8ab259cbe2c756919ca1561cde60b86ddf1b4379cd2851b635ac6379e6eacd9c
track_000060.mid,223.8,13,2,3,3,0,5,0.142,9190edb7b159e2f956853108ba7e82393ff382980e1f3d8a65a5d87763fa4c75
track_000061.mid,460.8,10,1,1,3,1,1,0.547,91e595afe346b6f0bcd1c1120da2819644a9df0cff4d6adeac5dfd275642ee44
track_000062.mid,302.2,9,1,1,5,0,2,0.569,932d38e555cb8e6be139f30ec85ccf6bff7ecdce6364582681f67f33ae1e0a2c
track_000063.mid,334.4,19,2,2,4,3,5,0.119,9382307eebd5e800f42984ef56b14003d453f069486d7647d3cc11ea3b975d0a
track_000064.mid,279.7,7,1,1,1,0,4,0.121,99d9bb4c918b8a14735a28407eebbf70da61ae4c5a0764e909d74fe018b3b49c
track_000065.mid,342.7,12,1,1,2,2,4,0.078,9c56c00d45e9254c59d6a412a60e4185c21c253b4a4efb70d29d6b62cf3ad557
track_000066.mid,160.3,18,1,1,5,2,4,0.284,a00569796198eeab76e008192641fb2fb94f9de7550f62226dc3071c5c304b99
track_000067.mid,166.0,13,3,1,7,0,1,0.575,a2c3a5572a43ebe777f79133c7093acad29e9179b1f70051fecb98d2f9dd9999
track_000068.mid,210.9,14,3,4,1,0,5,0.616,a56f40b7a0defb8af4e0b5c5d3e9d5c3ff4e01a1fbbcc2d49f582410577e6a35
track_000069.mid,489.9,24,7,1,1,2,11,0.009,aae0ff03a8625d2628915042a4d180384d488511d25b5d15a906e5ca3b6e1dad
track_000070.mid,257.7,8,1,1,4,0,2,0.51,b2da271ae5b5a216096d34e0bb6a120dc4f61847becb4df199a9877ec3132c70
track_000071.mid,152.0,14,5,2,6,0,1,0.919,b5a974b5a1ac7a8be481a04f0672809034f9305d28a4f97da3983eac0a30c621
track_000072.mid,419.3,12,1,1,4,1,5,0.051,b718b530be8e7092764f3967865fcbe68344b68a1616db2f6258ae1950b3d46b
track_000073.mid,232.4,13,2,3,7,0,0,0.302,b73f828a83d54f7a2ce2a174aedee213853851ed08253bc32afc3e558dfdf808
track_000074.mid,362.6,18,4,3,6,0,5,0.255,b86cde726ba9684b78f883c176b12428c4d181e88684b777ade6f8bb0eeda22e
track_000075.mid,186.1,9,3,2,2,0,2,0.356,baa1a06e39e3386b86731fa0be287af6bda1531bbe30e8231f142c4971c7371a
track_000076.mid,203.4,16,3,2,3,1,6,0.169,bb36f004d52dfac803119c9b324187df1fa8607d703db9eaf42312da8fc4b5ae
track_000077.mid,495.8,41,9,2,11,0,12,0.509,bcaef58b759c05f22164226a565ab984d9f23f6a58374d43aac0cede0f5b523b
track_000078.mid,359.9,13,2,1,5,0,5,0.307,be34c5b3ab0f2b384fea7a97a7e6a5b2c3e6fbfcd98d704c335b1f18c8eea65e
track_000079.mid,467.6,14,2,1,6,0,4,0.164,bfba25a03b83c102eb721112a595ea084c65566308344a274a6cd642f83e27ff
track_000080.mid,462.9,12,1,1,1,0,8,0.0,c34e52695c0d57b9ed46a3724e93ad78b841896a881b135ea94b0bc731816c20
track_000081.mid,189.7,13,4,2,4,3,0,0.399,c4189a17b7ba494f51bf92b37f5f13446c050c037a178fc37972784ee922d024
track_000082.mid,486.4,25,1,1,3,1,9,0.25,c7143da4dd3c0f1180bf0029dca89e58524707c6e263c1de6f41f547da2d0731
track_000083.mid,572.8,17,2,1,4,0,7,0.108,c8f0567ca28b96bd5c3ad63bdfa1301d3393527f03c56794336c4ccfabd8be4c
track_000084.mid,326.7,15,1,1,4,1,8,0.31,c8f2f005844b28aad0f8bb2d7eec5956d5454fe7ec85c219e58de7e9c8f03a92
track_000085.mid,212.0,10,1,3,1,0,4,0.394,cec4a40614d06beff4afec51179d89cbda2fb859bccc3086aac99d8fa34625af
track_000086.mid,243.7,19,8,1,8,0,2,0.782,cf5c059488dfabb1e7b4a65538c518029d2ad5c4617964268436420ef6359751
track_000087.mid,224.8,9,1,3,4,0,1,0.394,d23138353b5b29d9024fbb2808d87a49e6a597c49a3bec8a95ad865730610e2f
track_000088.mid,204.1,11,2,1,4,0,3,0.573,d58448f773f9249195ad6dc129dda9f869124ae5f30df4f781e9fa9c7c2affb6
track_000089.mid,361.2,17,4,1,5,0,5,0.354,d6e60737d28359cf4ced70782d6714d9316949b049308d095cd3aa6cd3a48c2c
track_000090.mid,325.4,15,4,2,6,0,2,0.245,d741285be05849278bb37700b5d9005968f5456db0016120e197e1e50fe44335
track_000091.mid,454.7,13,3,1,1,0,5,0.033,d8f2ed71d1e95f359afbffde3165c5fb1e95d5321ed353b1ad113728976f9f6b
track_000092.mid,297.9,11,1,1,3,0,2,0.658,df48968ba02d6bd432a66a8485953e851df87281e620d0fb80db6467da568839
track_000093.mid,230.0,13,2,1,5,0,5,0.265,df5fbfd0254beb912c6d6595545dd3e4f436ed1ad3cbaee95ebeefeeec1e8dfd
track_000094.mid,397.8,9,1,1,3,0,3,0.353,df6e66937b957afe7ba27491f9a8a4a28ac9b5f73f8e2a1cb49abfd5e8ebd2aa
track_000095.mid,192.0,14,2,1,8,0,3,0.769,e3e703361152ca35e5be34b19d9ad00a550adbed9070e6f8e8a62108c57ff009
track_000096.mid,297.5,6,1,1,4,0,0,0.421,e441b5644032fefb9395f302bd1a7901f379669354b8ea11b9d23c5e4940485f
track_000097.mid,229.2,11,3,1,2,0,4,0.059,e667f37859da3ccd44043bbe3b72ba76eff3aa0ee27813c070cf32d904b0303e
track_000098.mid,246.0,20,1,2,7,1,6,0.626,e675871e26b037bc54ddff06767f1452b87b46a902215ce4cc3a7ad7176d15fc
track_000099.mid,334.2,36,8,2,5,1,15,0.063,e68023901307dac8c480acfb16d04aff565ec5ff873d6a07f65789bae88280be
track_000100.mid,186.1,9,3,2,2,0,2,0.356,e880bf4f067923b64fac6d6b6f6e5e5df5462e9794da0c50828b0d991f56976f
track_000101.mid,425.5,21,11,2,1,1,5,0.029,e930ee62ff2539a31574e6cd75343d0abac63bad945ffdd0d3f666246eb4f363
track_000102.mid,202.5,8,1,1,6,0,0,0.931,ed92496975c9272e633459a948b57b15eaca807d0d4f6b79cdc4d2586718a39c
track_000103.mid,256.0,9,2,1,6,0,0,0.715,f02a5481908e68cb4401a4d52459ea50f3ab44635844ce5c7d6c666aafa05450
track_000104.mid,483.6,13,1,2,4,0,3,0.165,f150f4e132a4e5c61be15994b124a445f99fc2fc5db74b84ad07233fe4f9e45e
track_000105.mid,398.3,25,1,6,16,0,2,0.42,f5cc18d17d55abdf907e9490235fc0cb933ee91d6aac8634bf7a9e12f7d58d48
track_000106.mid,295.8,18,2,4,5,0,6,0.255,fa2b3eb1829ae05c8ed8ebef69b4811d9471dd5c3c679df09552b8cc776bd387
track_000107.mid,497.6,15,4,1,5,0,5,0.39,fd46016ba211fc4b9971c3ffe87b87e7a844be9f4980dc3e67f6bcfa378a165e
track_000108.mid,192.0,12,1,2,3,0,6,0.449,fe5e30c988217b34823be96de6065e5446ce33cefb775d87d970346a1aeaaf96
track_000109.mid,331.4,18,4,1,4,4,4,0.41,ff0523ba93bec62fc80f68323332b86041c7f89dd30e26bf89a43760b5253206
track_000110.mid,624.0,19,1,2,8,0,7,0.399,ff429e9e7363f7915eaea2f76d0eb6be7950523281b0af6dc89d928c9b0ea0ba
