file,folder,qualifies,seconds,drum_stems,bass_stems,synth_stems,acoustic_stems,synth_note_share,sha256
Clarity-01.mid,accepted,no,263.9,0,0,0,0,0.0,f80f1a3b609603ebf59c218ed6f788b6b06ab678a8f35d4f45f444c50e870f55
Closer-01.mid,accepted,no,240.0,1,2,0,4,0.349,385328cee0b9b05897e7f826904a0bab24dfae5344bbf8d9dadff265e1f90d43
Club Dance Music-01.mid,accepted,yes,425.5,11,2,1,1,0.029,e930ee62ff2539a31574e6cd75343d0abac63bad945ffdd0d3f666246eb4f363
Come and Go-01.mid,accepted,yes,196.9,1,2,2,0,0.135,53da98fae440d144a4bc1b7ad214731965dc5fd987c24082139de427456e63a6
Courtship Dating-01.mid,accepted,no,210.0,3,0,8,0,0.952,41fa1a73ecedf6a8724de475814c90f842795563ed905d7ce2907c95f05046ad
Dance of the Violins-01.mid,accepted,no,264.0,0,0,0,0,0.0,b1712448729224efddd699105eb74dbcde898259f877ac3b79a2a2165091d1ec
Dancing in the Space-01.mid,accepted,no,213.0,0,1,1,0,0.0,ce3c5356532b93df92b8b32ff7d94bc49c52d5d70920eb99f732e8b45d144a03
Deadmau5 - Raise Your Weapon Original Mix-01.mid,accepted,no,301.9,2,0,2,0,0.0,4db2c1a430ff21e7274bb910724341e96f9e02bff26d0ba6bd9eceaa5c0cea8c
Deadmau5 - Strobe Club Edit-01.mid,accepted,no,388.1,0,3,4,0,0.719,50b298ab7cecd6a5842b7b0f4066fc4822eae4e1e3ed62530a155734b9f7e8da
Deap-Sea TranceProgressiveHouse-01.mid,accepted,yes,195.4,3,2,9,0,0.874,13ad482175b32543536273b25d73c6ae188cfd1c733d95c2415e20727b1434a4
Dear Future Husband 2-01.mid,accepted,no,186.2,1,1,0,0,0.132,762806374c0a12b24e3627e048d75aa304a132d796cc01927732fb9c33f92fe3
Death By Glamour-01.mid,accepted,yes,141.0,2,1,3,1,0.243,1f52bed93255cf5cab0376578663032a8930af6bdcd5dc1c445cbbdb3a41f0ae
Devourer of Gods Nonstop Mix-01.mid,accepted,yes,825.4,2,1,8,1,0.473,1c1db3aeffc0b98a6700a7844d3758a855a22e8fba51e3088883a0f87a1cdbd9
Die With A Smile-01.mid,accepted,no,235.6,1,1,0,8,0.0,ff4991f14ebb66c7b678f66b4da62a8d1fb9ec47c34a2f70225a7e1a03843e03
Dire Straits - Money for Nothing-01.mid,accepted,yes,483.6,1,2,4,0,0.165,f150f4e132a4e5c61be15994b124a445f99fc2fc5db74b84ad07233fe4f9e45e
DONE TheFatRat - No No No Clarinet Quartet-01.mid,accepted,no,175.1,0,0,0,4,0.0,c669f035b9c53c88d065c3c0f15748366d33bffe4d255fcd7b8eb5c7bd13411c
Dont you worry child - Swedish House Mafia-01.mid,accepted,yes,230.0,2,1,5,0,0.265,df5fbfd0254beb912c6d6595545dd3e4f436ed1ad3cbaee95ebeefeeec1e8dfd
Dreiton-01.mid,accepted,yes,495.8,9,2,11,0,0.509,bcaef58b759c05f22164226a565ab984d9f23f6a58374d43aac0cede0f5b523b
Drop The Game-01.mid,accepted,no,235.3,0,1,0,4,0.0,3bc650d2d0f47cd9b87ea257efaf8b353fd6ba3d825ea880f896f6fd35bb05a7
dubsteep-01.mid,accepted,yes,239.5,1,3,4,1,0.222,20dbaa2f7c055ccb6af8c5754e4883d01b30b2970e578346a7fce3d58c1c6539
dubstep-01.mid,accepted,no,442.7,1,0,6,0,0.318,84b8d98467befad1d32dac096161d69723b9960b29fdec0f5c94ce7fe44ac370
E. Gadds Laboratory - Chiptune Cover-01.mid,accepted,no,366.0,1,1,0,2,0.0,9323ae22d6a02abb18530b22075c896fd9b0cc25241285ebe0da2503cf9d8adf
EDM Melody Compialation-01.mid,accepted,no,273.3,0,0,0,4,0.0,baf40007e6e409dc82672bade149a24edd87dc6ca8b8546f8b4021aeb1614982
EDM-01.mid,accepted,no,178.4,2,0,8,0,0.662,a11ab9b44ba25b74e4fa678eb559d847237a844dc77871dc192ee1e0bc56410a
EDM-02.mid,accepted,yes,150.0,2,2,10,0,0.548,4f1ea17db5c9ad3a73b09ed8cbecce3edad60883c54bb173b8a9f35b858f706e
EDM1 - Fearless-01.mid,accepted,yes,296.8,2,1,5,0,0.561,376b2e04e6a05329f263661fdc36fadfe7da525da8f3a8c40663212e218eb679
Edm3-01.mid,accepted,yes,192.0,2,1,8,0,0.769,e3e703361152ca35e5be34b19d9ad00a550adbed9070e6f8e8a62108c57ff009
Electronic Version of Adrenaline-01.mid,accepted,yes,183.9,1,3,6,1,0.392,0e2137373fdb6aa235cc86c55e44b57f0f5b7409c91ba29ba39ac91ff9357bbb
Elektronomia - Close To You-01.mid,accepted,no,224.7,0,0,1,0,0.024,93872891c2d9a3d3a3a631b8244ae82702fbbaffc8dfcbba465d673239a8c606
ELP - Fanfare For The Common Man-01.mid,accepted,yes,530.5,1,6,3,1,0.752,6a3adb4b5926012fdb0db3b670002c36508d80b02ad6a601b7cdc3ba7776c2f4
Emotion Sickness-01.mid,accepted,no,200.6,1,1,0,0,0.0,633ff4dd6070304065dbbc0977b79485d942abef2ec6418660a289e44ef619f9
end of spring-01.mid,accepted,no,228.2,0,0,0,0,0.0,d6b68f34ff91f9b80fb02645361de07a414c04e70a00ba7082f8949903b97512
End Titles-01.mid,accepted,no,227.5,1,0,0,5,0.0,27a76ca90e917e35e4885904de67edde709cc7cde0b764aca042cbace5e175ef
Every Time We Touch-01.mid,accepted,no,227.0,3,1,0,8,0.0,5d3484f055a9894a77bf3aacf12829857ebc281a39f32e8a6ceb38f03288422c
Everything Goes On-01.mid,accepted,yes,213.6,2,1,4,0,0.062,49e0183b3ba29e73bf9e2cf9ccae3ee56c081fb766b243d3b27eb76a3dee81ee
Faster Than Light-01.mid,accepted,yes,398.8,2,1,15,4,0.281,5f22521a03cac1d9e3330a63763b90608c11bba35924311245eeef71b9dfa5ad
FATALITY-01.mid,accepted,no,125.9,1,1,0,0,0.291,5fadc4b82680de593e845c63f4f2bcb1f0f0766cdd4fc063a0da587321832c3c
Feel Good-01.mid,accepted,no,245.2,2,2,0,0,0.0,66ca7689977b238ed638148978fa1e0f9f137f7ae3f2e4580459f687a00aaa03
FEELS - Calvin Harris Pharell Williams Katy Perry amp Big Sean-01.mid,accepted,no,230.4,1,0,0,6,0.0,e21bb3964ec951382d1737dae23e9519cd9f20839c005a2d65b7dbce2bc1c8b0
Fireflies-01.mid,accepted,no,198.7,0,0,0,4,0.0,e0f6336041df7ee5f296e394a5b444e78892e6a5987d7d62ac348393bde9c52e
Firestone-Kygo-01.mid,accepted,yes,267.1,5,1,2,1,0.273,1dce5acda75e9234eb53215c62319c61a403785e323f3ca73e9ee698ea2d883c
Fly Away-01.mid,accepted,no,195.5,7,2,2,5,0.058,3daaa21a652f1e9b92ca1d9706ef664c9f51bad210bd7b48e444a67d2bc1f23b
Fractures - ILLENIUM-01.mid,accepted,no,241.5,2,1,0,1,0.0,20f3a2bc85e6a963b5ff4d58fc45face74c35d5c99c84d1578e719b68c903a0c
Friends-01.mid,accepted,no,205.8,1,1,0,1,0.0,2f763419205ffbbd3f9f031fa579065b613b0bcee897c2886cb3cc5aa24f2c1d
Frost Man-01.mid,accepted,yes,288.9,1,1,4,0,1.0,60640f0740eb5487805c89234e3317e39fc8d420cba3e7af6058ab0a2e66bad8
Game Of Thrones-01.mid,accepted,no,248.6,1,1,0,0,0.0,44d5acd3b1daf0b3fe115a60a295deecef58c758dca16cd28a132cd6886dd948
Georgio by Moroder-01.mid,accepted,yes,497.6,4,1,5,0,0.39,fd46016ba211fc4b9971c3ffe87b87e7a844be9f4980dc3e67f6bcfa378a165e
Get Lucky-01.mid,accepted,no,242.1,2,1,0,3,0.0,ca75d7f292f3e3e3449a5effee0fb79600b2300164da1a67e661cbc15be581da
Get Your Wish-01.mid,accepted,no,323.4,0,0,0,1,0.0,4563fcbd277ddd15e7b60e122c7b56cbc1e5eef661f45f9fe950cbf8d9af7a58
Gravitational waves-01.mid,accepted,no,219.0,4,1,1,17,0.0,85c8cee22cc6952202de013ec42819aa26e3144311a2373346be6fa9fe4abb11
Happier-01.mid,accepted,no,230.4,0,0,0,11,0.0,2db6e56914afcf68246e94aa54122d62d2764a37c1802d640e0bf55c2e8bb783
Happier-02.mid,accepted,no,213.6,1,0,2,0,0.077,945a71d80e5c76761c337cea65a8df526f87d76d15619875f6dc1c2e9eac7299
Haunt Muakie-01.mid,accepted,yes,359.9,8,2,5,2,0.281,04fb603c0cb3e8155c04e98e19d944c6b6c91a37058a416ccc3040f35fef27eb
Heavy With Flavor-01.mid,accepted,no,185.8,0,1,0,0,0.0,40e122db28e940aa797b5c98d67e3a23313519aa1d6e91b66d7878933ed6d173
Hero-01.mid,accepted,no,309.6,1,1,0,3,0.0,19212f743c1e2f379d5bea6b23cd5adee1d2502b63ce6b1f13e8ca96373e76bc
HG-01.mid,accepted,no,225.6,6,0,0,1,0.0,202055d9807ff9b9dfec09acf3e990559801996ce7359d906a115228ad1b456b
Hiding In The Blue-01.mid,accepted,no,217.6,5,0,0,8,0.0,ea7deb4670f5d3a1d813c35f34a34a79d97f197f443b3027a1ae7c2c40fc9f80
Hold the Heathen Hammer High Synthwave-01.mid,accepted,yes,232.4,2,3,7,0,0.302,b73f828a83d54f7a2ce2a174aedee213853851ed08253bc32afc3e558dfdf808
Hold the Heathen Hammer High Synthwave-02.mid,accepted,yes,260.2,2,3,7,0,0.315,378522467a7beb289d94bf3befd922da80dbc12afcdbdecea4d49fe2d527050c
Hot Stuff Updated Version-01.mid,accepted,yes,192.0,1,2,3,0,0.449,fe5e30c988217b34823be96de6065e5446ce33cefb775d87d970346a1aeaaf96
House Building Song-01.mid,accepted,no,213.2,1,1,0,1,0.0,88bd37f1048367f4c88a2dfdca27cd5cc951f5068e9dbd823e9d2f939f1d34e7
HR 8938 Cephei-01.mid,accepted,yes,532.5,2,1,9,0,0.256,10a264e24506185d6fcf162d7df3b381452f91451d33f06bcf8de803cac716e3
Ichor-01.mid,accepted,no,81.0,4,0,0,13,0.0,683359bc800c59c66783c69147c18888a30838861a1f1af5dd737ca854acbb99
Idols-01.mid,accepted,no,228.8,1,0,0,0,0.0,47c2f05c68470dba2245be14cba90b4460a31a34894a806928218d2647110ee4
Idols-02.mid,accepted,no,229.0,2,0,3,0,0.266,0b5bd3877dbbda37032c41ae63a67645ef2ab02833541f3bfe9a80e0c592b670
INFESTOMANIA-01.mid,accepted,yes,400.8,3,2,2,1,0.0,038dc1f4a201656960f1ad7600a8b79e04e41b482d369dbd498e7724543916dd
Into The New World - Orchestra-01.mid,accepted,no,259.4,1,1,0,3,0.0,691880b484518ec879fb3a76ba373f43c6149a3656a2ca368ed7fb6990df914d
Keep It Mello-01.mid,accepted,yes,189.7,4,2,4,3,0.399,c4189a17b7ba494f51bf92b37f5f13446c050c037a178fc37972784ee922d024
Komm süsser Tod M-10 Directors Edit. Version-01.mid,accepted,no,463.5,4,1,0,1,0.0,e18f37e91f16d43629f86e0b78538179bca03df0abe9de69be447c937228fffa
KYGO - Gone Are The Days ft. James Gillespie-01.mid,accepted,yes,198.0,2,1,5,1,0.205,210540d45b690aa97e3f56c32d785cfd75af20b233f46153487c593cd0be706b
Kygo - The Truth ft Valerie Broussard-01.mid,accepted,yes,185.5,2,1,1,2,0.0,06bcb5d3289b45fe65158228e82a2606f77f1ff79e825e72be21f8a9f9657846
Kygo - Thrill of The Chase-01.mid,accepted,yes,193.6,3,2,5,0,0.309,11d80aad2b1b6e12edcb1c9571dcf0802fc083307e3a0acc432d6fd9e3cf62f1
Kygo ft. Sandro Cavazza - Happy Now-01.mid,accepted,yes,205.4,3,1,4,0,0.355,596c80a98296eb2b5881c62461543083762ea7ff167a40e1315bcd94857b4069
Kygo Tina Turner - Whats Love Got to Do with It-01.mid,accepted,yes,203.4,3,2,3,1,0.169,bb36f004d52dfac803119c9b324187df1fa8607d703db9eaf42312da8fc4b5ae
Kygo Whitney Houston - Higher Love-01.mid,accepted,yes,223.8,2,3,3,0,0.142,9190edb7b159e2f956853108ba7e82393ff382980e1f3d8a65a5d87763fa4c75
la lune-01.mid,accepted,no,230.3,0,0,0,4,0.0,ec38b154f03520c02abb18b5f4245998af16f452519a58e700a7d5c259829d30
Let It Happen-01.mid,accepted,yes,460.8,1,1,3,1,0.547,91e595afe346b6f0bcd1c1120da2819644a9df0cff4d6adeac5dfd275642ee44
Limit to Your Love-01.mid,accepted,no,288.4,3,2,0,0,0.0,fb33b2fce6b90a12744f967df3c9ab91b623ab52be0047e7e81a30c05d998b13
Locrian the forgotten mode-01.mid,accepted,yes,359.9,2,1,5,0,0.307,be34c5b3ab0f2b384fea7a97a7e6a5b2c3e6fbfcd98d704c335b1f18c8eea65e
Lolita - Electronic-01.mid,accepted,no,311.4,0,0,4,0,0.681,9d3d4958ab5149d9b805ffeb82c6df591ea2a7a46ac993b5347c61668b6e2312
Lonely - Illenium Drumline Remix-01.mid,accepted,no,268.4,4,0,0,0,0.0,53a390b7e2ec101a9882c05e6091f770cf11e8ab8e564f0eebca70e324f60e40
Ludicrous Speed-01.mid,accepted,no,176.4,0,0,0,0,0.0,f05fe7540fe191eadd18d789f7a31c8e939cc5456cf33109dad9a7cec16a517b
M83 - Wait Kygo Remix-01.mid,accepted,yes,295.8,2,4,5,0,0.255,fa2b3eb1829ae05c8ed8ebef69b4811d9471dd5c3c679df09552b8cc776bd387
Magoado-01.mid,accepted,no,235.8,0,0,0,0,0.0,3c4d78e6c58677b83e93bf4ce927c1524eecd0caf2a68076f439a0f4e2dc11de
Marvin Gaye - Sexual Healing Kygo Remix-01.mid,accepted,yes,361.2,4,1,5,0,0.354,d6e60737d28359cf4ced70782d6714d9316949b049308d095cd3aa6cd3a48c2c
Megalovania-01.mid,accepted,yes,624.0,1,2,8,0,0.399,ff429e9e7363f7915eaea2f76d0eb6be7950523281b0af6dc89d928c9b0ea0ba
MELTDOWN-01.mid,accepted,yes,132.0,1,1,3,0,0.424,2955dc552bb9d51cd320fd1771d93cd6f640861f2d1607004cfa8ad04ca4d469
Metropolis Part 1 The Miracle and the Sleeper-01.mid,accepted,yes,560.7,4,1,8,0,0.178,472627159a043aa159932119c7a65d41bdc888c3e7365a42e6d9a54f45060e64
Minecraft Blinds Spots - original-01.mid,accepted,yes,331.2,3,2,7,1,0.318,2af24702cf7c5395950a2b36c26a711c0f83bdf05d13fc2617c99b953225ebb4
Minecraft Taswell - Original-01.mid,accepted,yes,513.8,8,3,16,3,0.54,07345fb12378a1a72f90ebaf98e56bb591160d60ae8fbda5d055011766678a74
MONEY FOR NOTHING-01.mid,accepted,yes,467.6,2,1,6,0,0.164,bfba25a03b83c102eb721112a595ea084c65566308344a274a6cd642f83e27ff
Monody-01.mid,accepted,no,285.9,1,0,0,8,0.0,b724e47392a66457a7a7ccae5d17ac3be0aa412dfcbe20ac9ef489de6504a284
Mortal Kombat Theme-01.mid,accepted,yes,203.4,3,1,6,2,0.553,40184838e9f0ac2d3bf141bc9d39b3fea795b0faa0efccd6cab69c943f170935
Mortal Kombat-01.mid,accepted,yes,186.1,3,2,2,0,0.356,e880bf4f067923b64fac6d6b6f6e5e5df5462e9794da0c50828b0d991f56976f
Muffets Theme-01.mid,accepted,no,167.0,2,0,0,0,0.0,dda8522533df44b4674545618498d11ae13d8218725f4cbef5a52513bd7c969e
My future V3-01.mid,accepted,no,177.3,1,1,0,0,0.0,a61e5755f770169793d311fd24ee3f9d03561f8bd34bc4219e1fa6cb6a971fd4
my future-01.mid,accepted,yes,257.7,1,1,4,0,0.51,b2da271ae5b5a216096d34e0bb6a120dc4f61847becb4df199a9877ec3132c70
Myth-01.mid,accepted,no,244.1,5,0,0,0,0.0,e706ad705100c50bb5f773311706d77d4cfa0cd0f12802e8d7cbe1c7a7f98447
NEW MAGIC WAND-01.mid,accepted,yes,194.1,6,1,1,0,0.419,61187ee3a788517e0077f1b9de2cd94e2ab97afca2b6563af8fdf90df94b1934
Nightcall-01.mid,accepted,no,261.3,1,0,6,3,0.623,9cd072b29a692170117763dbadb9fef26dca07b7d2a56ff5cc65658152687248
Nightcall-02.mid,accepted,yes,242.6,1,2,5,0,0.843,6c7ce0385dfd603549ead6538761f7d32322ead9fdb3800638323448011357e0
Nightcore Legendary-01.mid,accepted,no,201.7,0,0,0,5,0.0,f0b86436373be937573e0ba64b86c7a5632813403ee3733bcf136625e3fbf641
omg - newjeans-01.mid,accepted,yes,210.9,3,4,1,0,0.616,a56f40b7a0defb8af4e0b5c5d3e9d5c3ff4e01a1fbbcc2d49f582410577e6a35
One More Kiss Dear-01.mid,accepted,no,218.4,1,1,0,0,0.0,a27d55810026a0e1e2336ac5b95a1021246f7bba19eaca7959860166c0510078
PARALLAX-01.mid,accepted,no,1034.9,6,1,0,12,0.0,332ec5b6b0d970d3073cae86e9b831b29538c6f9d571c96e2eb0304039424864
Paris-01.mid,accepted,no,206.2,0,0,0,1,0.0,c0db1915be8f6b93fcc3109441383b3b65b7168e88d76553fb4c8188fb5f6c33
Pentatonix-01.mid,accepted,no,197.7,1,5,0,0,1.0,18dad90c2ddc395e345e5663dd21a818952fb4fb287059fc67a1c620d746c9ab
Phoenix Wright Apollo Justice- Trance Logic and Trick-01.mid,accepted,yes,170.2,2,3,3,0,0.976,301a91e54329798268cd94d4b4a713a6e579068d92af719f4a9b88fb12a832ff
Piano Dubstep-01.mid,accepted,no,208.0,2,0,2,0,0.422,a303f2bd4104f63c160895694c3a101fdcc7987b65ef920ce2f31b8dc5349b6c
Pika Girl-01.mid,accepted,no,221.0,1,0,0,0,0.0,bf0c861564974799bdfe02904c5aa811659a0eb20c783d3e74c24fdb8b072bb0
Pizza v2 Orchestral-01.mid,accepted,no,288.0,1,1,0,5,0.0,9b75cad2e45b827d3ad97f3f93d57c0acc2f965a85bc7223ab5522ab8461b697
Plainsong-01.mid,accepted,yes,297.9,1,1,3,0,0.658,df48968ba02d6bd432a66a8485953e851df87281e620d0fb80db6467da568839
Pneuma-01.mid,accepted,yes,711.9,2,2,5,0,0.016,75886af192864c3520446a73274ae0d6876af84d63d3404f66c25ad8f94a6e1c
Porto-01.mid,accepted,no,267.7,1,1,0,0,0.0,327dfa5f069f2dc6a01bfe14743cf26bbc9ebf519aa173d07710e3653d98a888
Raw Unfiltered Calamity-01.mid,accepted,yes,496.6,1,2,1,2,0.02,0d4cfd3434e69756f4baf96032276e9c6f7b9efa9ba73ec24dea2c43dc517e6c
Rendez-vous III-01.mid,accepted,no,193.5,0,1,2,0,0.602,9b155238c16a9d3b58faee4c196f76862d0ae0f732763dbd112b7c64492624fd
Requiem in D minor-01.mid,accepted,no,186.8,1,0,0,15,0.0,3b4222eee12c1807970b62033865fd0c7afb92bad41c9ce1eec5740b1d00dd89
Rewind-01.mid,accepted,yes,202.5,1,1,6,0,0.931,ed92496975c9272e633459a948b57b15eaca807d0d4f6b79cdc4d2586718a39c
Rhythm Heaven Marching Show-01.mid,accepted,no,212.1,5,0,0,16,0.0,462edefaeaca27995026a552bfe6f55a1c14fe233d58fd299f7eebea14f44ad9
Rock aposnapos Roll Train-01.mid,accepted,yes,256.0,1,1,1,0,0.0,3dcbd3bb4dd8b5cdce432fdd7bedd73f6e1e4c485c4bf96c877fe8606c794a81
sad machine-01.mid,accepted,no,203.5,0,0,0,0,0.0,d80114dbf6c6f8db78af576eee13e1b8e7bacdf2bf6459f4a5ab238925cf5da0
Scared To Be Lonely-01.mid,accepted,no,219.6,2,0,0,1,0.0,a048a46b5e49897ea1c32b47b0f75a478de72cf36ebf4ba77c89ccf2648136e6
Scary Monsters and Nice Sprites-01.mid,accepted,no,274.0,1,0,0,2,0.0,54db0e077967fa51cbb5d0b6bafcaca27b8894c329edc94ed6eb83c607fe0604
Scatmanaposs World-01.mid,accepted,yes,234.7,1,1,3,0,1.0,104e1e1b659445cbc284dee0d5d34e36eed99f221170403071a1fb49a864e142
score-10385791-01.mid,accepted,no,171.2,1,0,7,0,0.0,f45357c80f2a4f354487c7bdc92c623285844f274be92a5d95054d72e33612f6
score-10482466-01.mid,accepted,no,112.0,5,0,1,10,0.079,3782b9437d03721e44e7d31a96080706181a8b4b7c96af041da5524f7b1c1122
score-11493661-01.mid,accepted,no,125.5,0,0,0,7,0.0,acda5f55edd1cf522f0a98b780927d1c2793d77a2e40dbb5a0b18d1083bd4242
score-12995479-01.mid,accepted,no,182.8,2,0,6,1,0.632,b1d31c8bfc4eca79e6fff47b3a0431364f9c7354f0bbde3f273df7d8ed008779
score-1366371-01.mid,accepted,no,230.7,0,1,0,0,0.0,14ca539fb96297f5744f0c03a6f4a5e3ae5f89b735e2194032faa26b7e19f67e
score-13949002-01.mid,accepted,no,235.6,1,1,0,5,0.0,6bad0f927fd1c1762dd022d4aceab2ccc7e56c5bb45bb0559f76601f9a4ccf7a
score-14841628-01.mid,accepted,yes,398.3,1,6,16,0,0.42,f5cc18d17d55abdf907e9490235fc0cb933ee91d6aac8634bf7a9e12f7d58d48
score-1636651-01.mid,accepted,no,140.0,2,0,5,0,0.188,c40cfd6dd755521f82653a0852506eb90f1c826165cb682b6fbc91d228e13b8f
score-16481788-01.mid,accepted,no,321.0,1,1,0,0,0.0,46b01478ed4b9ed4a34c04bf6d798cc9312c70c9d5ce58a8bb59b12e79f4e524
score-16731844-01.mid,accepted,no,263.7,1,2,7,18,0.316,39e31031e9f8b00e92326d74032618eee6cfaf3c14b5238b64c2cadfa39e5ae6
score-16731847-01.mid,accepted,yes,263.7,1,2,7,0,0.675,60a9442fe97b48699161cd09270900c151f482dc894f93b708ca2ee5b43182e2
score-16772323-01.mid,accepted,no,190.0,4,0,0,12,0.0,b0a3bc3bee83fc8aced792f976890990520c7caee49d86d47155cee9ab1e060b
score-17748631-01.mid,accepted,yes,302.2,1,1,5,0,0.569,932d38e555cb8e6be139f30ec85ccf6bff7ecdce6364582681f67f33ae1e0a2c
score-19697590-01.mid,accepted,yes,160.3,1,1,5,2,0.284,a00569796198eeab76e008192641fb2fb94f9de7550f62226dc3071c5c304b99
score-2122541-01.mid,accepted,no,230.4,0,1,0,0,0.0,1d50963ff64a643c1fb9d25e00f546bb98236f7bbaa4f9b4e3da979268116f3f
score-21869797-01.mid,accepted,no,399.6,3,1,0,27,0.0,2aeb4196fe40779b1a39cb95b6ae8ce705f3c45910669824eac091d3e22c31a5
score-22178698-01.mid,accepted,no,133.5,2,0,0,2,0.0,2cce5ec910729b5df6406f188259d16825bbb24403f55e6f5e8ba084d3cbbb2c
score-22740076-01.mid,accepted,no,192.0,0,0,0,0,0.0,f18db7073084f46a00d2975c762a8ec6b4ce496f92d22b73c37c09bb10426b8c
score-25473316-01.mid,accepted,no,270.5,1,0,1,1,0.652,2f8f9a3c834a4643ed1269ea67219eddc75c73eeb3f30a95972b6342570839d7
score-25538236-01.mid,accepted,no,205.7,1,0,1,5,0.367,12ce3c238b7f37425bebcf7f62689ef89540963114ca4d7ecd6876047635151a
score-25756924-01.mid,accepted,no,92.7,2,0,1,4,0.065,3074201fb0b15d54c8adb9748daf6c6ecc75e2757ebe21f99f80ecc9f53b3d35
score-26687251-01.mid,accepted,no,248.1,3,2,0,0,0.0,729cb8a97f1196436b5898bc60637af1fdd0a008b42552def4fc22794d0fcbdb
score-30509765-01.mid,accepted,no,120.2,4,1,0,13,0.0,13f8f628a986530bdcc3934afdab6e0d20c2ee6713e4f58e47bae36a70765fd3
score-31541576-01.mid,accepted,yes,243.7,8,1,8,0,0.782,cf5c059488dfabb1e7b4a65538c518029d2ad5c4617964268436420ef6359751
score-32524646-01.mid,accepted,no,238.8,4,0,0,29,0.0,f38826bace5cec70678a999781ba155ee5e582743e5f935c96d074220ccf6e9f
score-3572156-01.mid,accepted,no,216.0,3,0,4,0,0.325,408280402f40d462c309f93280990bd16be44754b3909818e0037569d258bac8
score-4206236-01.mid,accepted,no,301.2,1,0,0,0,0.0,555165e0aab03782ebc129ce8a27741d85654c97514e60395c4046a3e7383abb
score-4520351-01.mid,accepted,no,262.8,1,2,1,4,0.114,f9d5533919a2f7b73d092261468fced7f932407bff384889de129de2a7d6e05a
